transaction_id,customer_id,product_id,transaction_date,price,quantity,units_sold,total_price,cgst,sgst,tax,campaign_applied,mode_of_payment
T00001,C0116,P0014,2024-08-26,375.01,3,3,1125.03,101.25269999999999,101.25269999999999,202.50539999999998,True,Net Banking
T00001,C0116,P0014,2024-08-26,440.57,3,3,1321.71,118.9539,118.9539,237.9078,True,UPI
T00001,C0116,P0014,2024-08-26,85.41,3,3,256.23,23.0607,23.0607,46.1214,True,Debit Card
T00001,C0116,P0014,2024-08-26,153.48,3,3,460.43999999999994,41.43959999999999,41.43959999999999,82.87919999999998,True,Debit Card
T00001,C0116,P0014,2024-08-26,423.66,3,3,1270.98,114.3882,114.3882,228.7764,True,UPI
T00001,C0116,P0014,2024-08-26,17.85,3,3,53.550000000000004,4.819500000000001,4.819500000000001,9.639000000000001,True,Cash
T00001,C0116,P0014,2024-08-26,316.85,3,3,950.5500000000001,85.54950000000001,85.54950000000001,171.09900000000002,True,Credit Card
T00001,C0116,P0014,2024-08-26,445.16,3,3,1335.48,120.19319999999999,120.19319999999999,240.38639999999998,True,Net Banking
T00001,C0116,P0014,2024-08-26,357.58,3,3,1072.74,96.5466,96.5466,193.0932,True,UPI
T00001,C0116,P0014,2024-08-26,471.0,3,3,1413.0,127.17,127.17,254.34,True,Net Banking
T00001,C0116,P0014,2024-08-26,389.03,3,3,1167.09,105.03809999999999,105.03809999999999,210.07619999999997,True,Debit Card
T00001,C0116,P0014,2024-08-26,15.14,3,3,45.42,4.0878,4.0878,8.1756,True,Credit Card
T00001,C0116,P0014,2024-08-26,241.18,3,3,723.54,65.1186,65.1186,130.2372,True,Credit Card
T00002,C0035,P0027,2025-06-22,407.39,4,4,1629.56,146.66039999999998,146.66039999999998,293.32079999999996,False,Credit Card
T00002,C0035,P0027,2025-06-22,165.02,4,4,660.08,59.4072,59.4072,118.8144,False,Cash
T00002,C0035,P0027,2025-06-22,175.02,4,4,700.08,63.007200000000005,63.007200000000005,126.01440000000001,False,Net Banking
T00002,C0035,P0027,2025-06-22,410.77,4,4,1643.08,147.8772,147.8772,295.7544,False,Debit Card
T00002,C0035,P0027,2025-06-22,280.56,4,4,1122.24,101.0016,101.0016,202.0032,False,Debit Card
T00002,C0035,P0027,2025-06-22,43.31,4,4,173.24,15.5916,15.5916,31.1832,False,Cash
T00002,C0035,P0027,2025-06-22,33.02,4,4,132.08,11.8872,11.8872,23.7744,False,Debit Card
T00002,C0035,P0027,2025-06-22,433.9,4,4,1735.6,156.20399999999998,156.20399999999998,312.40799999999996,False,Credit Card
T00002,C0035,P0027,2025-06-22,294.65,4,4,1178.6,106.07399999999998,106.07399999999998,212.14799999999997,False,UPI
T00002,C0035,P0027,2025-06-22,448.42,4,4,1793.68,161.4312,161.4312,322.8624,False,Credit Card
T00002,C0035,P0027,2025-06-22,306.44,4,4,1225.76,110.3184,110.3184,220.6368,False,Cash
T00002,C0035,P0027,2025-06-22,156.21,4,4,624.84,56.2356,56.2356,112.4712,False,Debit Card
T00002,C0035,P0027,2025-06-22,294.4,4,4,1177.6,105.984,105.984,211.968,False,Cash
T00002,C0035,P0027,2025-06-22,275.44,4,4,1101.76,99.1584,99.1584,198.3168,False,UPI
T00002,C0035,P0027,2025-06-22,136.99,4,4,547.96,49.3164,49.3164,98.6328,False,Credit Card
T00002,C0035,P0027,2025-06-22,452.19,4,4,1808.76,162.7884,162.7884,325.5768,False,Net Banking
T00003,C0131,P0048,2025-05-07,288.9,1,1,288.9,26.000999999999998,26.000999999999998,52.001999999999995,True,UPI
T00003,C0131,P0048,2025-05-07,349.97,1,1,349.97,31.497300000000003,31.497300000000003,62.994600000000005,True,Credit Card
T00003,C0131,P0048,2025-05-07,499.31,1,1,499.31,44.9379,44.9379,89.8758,True,Cash
